"placename","othername","designator","location","remarks","infosource"
"Fairview - Endless Caverns Church of the Brethren","   -","Church","Tenth Legion, north east.","Church of the Brethren","HRHS Churches Database 2013"
"Fairview Church","Fair View Church, Snaps Creek Church","Church","At intersection of SR 752 & 763. About 3.4 mi SSW of Singers Glen.","   -","HRHS Archives # 86 Whitmer"
"Fairview Church","   -","Church","About 2.2 mi NE of Tenth Legion on SR 795.","   -","HRHS Archives # 86 Whitmer"
"Fairview Church of the Brethren","   -","Church","Singers Glen Road","Church of the Brethren","HRHS Churches Database 2013"
"Fairview Church of the Brethren Cemetery","   -","Cemetery","Near Court Manor, Rockingham County, Virginia.  From Court Square, downtown Harrisonburg, Virginia, take Route 11 North for 14.7 miles and turn right onto Route 795 (Fairview Church Road).  Go 5/10th mile and church/cemetery is on the right side of t","   -","HRHS Cemeteries Database 2013"
"Fairview School","School Number 3","School","On SR 620. About 3.4 mi SSE of Tenth Legion","   -","HRHS Archives # 86 Whitmer"
"Fairview School","   -","School","At southern intersection of U.S. Rt.33 & SR 704. About 1.1 mi N of Massanetta Springs","Pit G shows Fairview School about 1.8 mi N of Massanetta Springs near 38 25 30N, 78 50 35W","HRHS Archives # 86 Whitmer"
"Fairview School","   -","School","At intersection of SR 692 & 995. About 3 mi SE of Mt. Crawford.","Pit G map shows Fairview School on SR 693. About 2.5 mi SE of Mt. Crawford, near 38 19 49N, 78 54 37W","HRHS Archives # 86 Whitmer"
"Fairview School","   -","School","East Ashby","P. 7","1885 Lakes Atlas Revised 2013"
"Fairview School","   -","School","East Central","P. 13","1885 Lakes Atlas Revised 2013"
"Faith Tabernacle","   -","Church","On SR 679 at Pleasant Valley community","Show G, p.29 shows church symbol labeled 'U.B.' on Pleasant Valley Map","HRHS Archives # 86 Whitmer"
"Fallbush Mountain","   -","Mountain","Elevation 2722/. Extends NE-SW about 4.5 mi. Center in Shenandoah County, about 4.5 mi N of Bergton","GNIS coordiantes appear to be where center line of mntn. Intersects Rok/Shn border, 38 49 34N, 78 57 33W.","HRHS Archives # 86 Whitmer"
"Farmers Milling Company","   -","Mill","Bridgewater","   -","HRHS Mill Books"
"Farrar Road","   -","Road","   -","VA DoH 1932 map shown in 'County Road Index' as County Road Number 226. It might be in the Spring Creek area or perhaps between Kratzer Rod & Rt. 42. No road is clearly marked No. 226 on this map.","HRHS Archives # 86 Whitmer"
"Faughts Branch","Faughts Run","Stream","   -","   -","HRHS Archives # 86 Whitmer"
"Faughts Run","Faughts Branch","Stream","Rises about 1.4 mi NW of Cross Keys, near 38 22 12N, 78 51 49W. Flows SSW about 5.2 mi into North River, near 38 18 23N, 78 53 46W, about 4.3 mi SSE of Mt. Crawford.","   -","HRHS Archives # 86 Whitmer"
"Favght's Br.","   -","Stream","East Ashby","P. 7","1885 Lakes Atlas Revised 2013"
"Fawley","   -","Community","At souther intersection of SR 820 & 822. About.8 mi NW of Bergton.","   -","HRHS Archives # 86 Whitmer"
"Fawley Hollow","   -","Valley","Runs N to S. Extends about 2.5 mi. Mouth of hollow opens onto North Fork Shenandoah River, near 38 39 28N, 78 54 09W. Hollow begins near 38 40 56N, 78 54 15W. Center about 1.2 mi NNE of Fulks Run.","This hoolw is drained by Fulks Run according to Show G p.21 map","HRHS Archives # 86 Whitmer"
"Fawley-Fulk Family Cemetery","   -","Cemetery","Fulks Run area, Rockingham County, Virginia. From the intersection of Route 42 and Route 33 in Harrisonburg, Virginia, take Route 42 North. Go 13.1 miles (which puts you in the town of Broadway) and turn left onto Route 259 (Brocks Gap Road).  About","   -","HRHS Cemeteries Database 2013"
"Feathers Hollow","   -","Valley","Runs NNE to SSW. Extends about 1.4 mi, mouth of hollow opens onto Mongold Hollow, near 38 48 38N, 78 58 40W. Hollow begins near 38 49 47N, 78 58 06W. Center about 3.9 NNw of Bergton.","   -","HRHS Archives # 86 Whitmer"
"Feed Stone","The","Other","West Central","P. 14","1885 Lakes Atlas Revised 2013"
"Feed Stone Mountain","Feedstone Mountain","Mountain","   -","   -","HRHS Archives # 86 Whitmer"
"Feed Stone Mtn","   -","Mountain","West Central","P. 14","1885 Lakes Atlas Revised 2013"
"Feedstone Mountain","Feed Stone Mountain","Mountain","Elevation 3860'. Extends E-W about 4 mi, with Bald Knob at Eastern end.","   -","HRHS Archives # 86 Whitmer"
"Fellowship / Sellers Methodist Church","(See also, Fellowship Methodist Church)","Church","Melrose, east of.","Methodist Episcopal","HRHS Churches Database 2013"
"Fellowship Church","Fellowship Methodist Evangelical Church","Church","On SR 721. About 2.3 mi SSW of Lacey Spring community","   -","HRHS Archives # 86 Whitmer"
"Howard Kline Mill","   -","Mill","Linville Creek","   -","HRHS Mill Books"
"Howver Mill","   -","Mill","Joe's Creek","   -","HRHS Mill Books"
"Huckleberry Mountain","   -","Mountain","Elevation 2158'. About 3.5 mi E of Elkton","   -","HRHS Archives # 86 Whitmer"
"Huckleberry Mt.","   -","Mountain","Stonewall","P. 30","1885 Lakes Atlas Revised 2013"
"Hudlow Family Cemetery","   -","Cemetery","Rockingham County, Virginia. Recorded directions in 1960s by the D.A.R.-Located in southeast corner of Ashby District, on farm owned by Calvin Baker.","   -","HRHS Cemeteries Database 2013"
"Huffman - Flick Cemetery","   -","Cemetery","Linville area, Rockingham County, Virginia.  From downtown Harrisonburg, take Route 11 north and turn left onto Route 765 (Gravels Road).  Cemetery is located on north side of Route 765 approximately one fourth mile east of Bethel Church of the Breth","   -","HRHS Cemeteries Database 2013"
"Huffman Family Cemetery","   -","Cemetery","Tenth Legion, Rockingham County, Virginia. East of Tenth Legion off Route 620 near Arkton on the Lawrence Reid farm. It is on a hill West of Mr. Reid's entrance from Route 620.","   -","HRHS Cemeteries Database 2013"
"Huffman's Tavern","   -","Business","   -","   -","Other Sources"
"Huges Mountain","Little Mountain","Mountain","   -","   -","HRHS Archives # 86 Whitmer"
"Hughes Hollow","   -","Valley","Runs WNW to ESE. Extends about 1.1 mi, mouth of hollow opens onto Patterson Creek, near 38 30 20N, 79 01 08W. Hollow begins near 38 30 38N, 79 02 12W. Center about 1.5 mi E of Rawley Springs.","   -","HRHS Archives # 86 Whitmer"
"Hughs Mountain","Little Mountain","Mountain",,"Named 'Little Mountain' 7.5' map. Show G map labels 'Wetzel Knob' as 'Hughs Mountain'","HRHS Archives # 86 Whitmer"
"Hulvey & Enos","   -","Business","Broadway - Timberville","P. 29","1885 Lakes Atlas Revised 2013"
"Hulvey Family Cemetery","   -","Cemetery","Fulks Run, Rockingham County, Virginia. From Fulks Run Grocery, go west on Highway 259 for 1  mile.  At Valley Land store, turn left onto Highway 818 (Dry River Road).  After crossing the bridge, continue on for about 4 miles until you pass Highway 6","   -","HRHS Cemeteries Database 2013"
"Hulvey Family Cemetery","   -","Cemetery","Rockingham County, Virginia. Cemetery is located on west side of Route 612 north of Route 259 on Runions Creek opposite George Mitchells place.","   -","HRHS Cemeteries Database 2013"
"Hume Run School","Humes Run School","School","   -","Show G map shows school on W side of SR 602","HRHS Archives # 86 Whitmer"
"Humes Run","   -","Stream","Rises about 2.4 mi E of Lairds Knob, near 38 27 16N, 78 41 10W, flows E about 3.2 mi into South Fork Shenandoah River near 38 27 21N, 78 38 17W, about 3.5 mi NNW of Elkton.","   -","HRHS Archives # 86 Whitmer"
"Humes Run School","Hume Run School","School","On RT 602 about 3.5 mi NNW of Elkton.","Pit G map shows school on E side of SR 602","HRHS Archives # 86 Whitmer"
"Hupp Mill","   -","Mill","Criders","   -","HRHS Mill Books"
"Hupp School","   -","School","On SR 826. About 1.7 mi WNW of Criders","   -","HRHS Archives # 86 Whitmer"
"Ice House (RS.)","   -","Business","Rawley Springs","P. 27","1885 Lakes Atlas Revised 2013"
"Ideal Milling Company","   -","Mill","Mossy Creek","   -","HRHS Mill Books"
"Mauzy P.O.","   -","Post Office","East Plains","P. 25","1885 Lakes Atlas Revised 2013"
"Mauzy Post Office","Mauzy","Post Office","   -","   -","HRHS Archives # 86 Whitmer"
"May Cemetery (1)","   -","Cemetery","Criders  Area, Rockingham County, Virginia. Located on the farm of the George May I, and on Mays Creek Lane at Bergton, Virginia.","   -","HRHS Cemeteries Database 2013"
"May Cemetery (2)","   -","Cemetery","Criders Area, Rockingham County, Virginia. Located on the farm of George May I and on Mays Creek Lane at Criders, Virginia.","   -","HRHS Cemeteries Database 2013"
"Mayland","Mayland Post Office","Community","At intersection of SR 259 and 619. About 2.3 mi SE of Broadway.","   -","HRHS Archives # 86 Whitmer"
"Mayland Christian Church","   -","Church","Mayland","Christian","HRHS Churches Database 2013"
"Mayland Post Office","Mayland","Post Office","   -","   -","HRHS Archives # 86 Whitmer"
"Mayland School","   -","School","Near intersection of SR 259 and 613. About 2.3 mi SE of Broadway.","   -","HRHS Archives # 86 Whitmer"
"Mays","   -","Community","Near Criders Church, elevation 1779'. About .7 mi N of Criders.","Horiz + vert. control station symbol. 'Mays' printed beside mark.","HRHS Archives # 86 Whitmer"
"Mays Mill","   -","Mill","Bridgewater","   -","HRHS Mill Books"
"Mays Mountain","   -","Mountain","Elevation 2751'. Extends E-W about 1-5 mi. Center about 1.8 mi NW of Criders","   -","HRHS Archives # 86 Whitmer"
"McCoy Cemetery","   -","Cemetery","Elkton area, Rockingham County, Virginia. Cemetery is located at 3075 River Road (Route 635) at the end of a long lane, northwest of Elkton. Present owner of property is Ralph McCoy, Jr.","   -","HRHS Cemeteries Database 2013"
"McGahey Home","Bonny Brook","Structure","On SR 996. About 1 mi NE of McGaheysville.","   -","HRHS Archives # 86 Whitmer"
"McGaheysville","Ursulasburg","Town","   -","Early name for McGaheysville","Other Sources"
"McGaheysville","   -","Town","On SR 996. Elevation 1159'. About 6.7 mi WSW of Elkton.","   -","HRHS Archives # 86 Whitmer"
"McGaheysville Methodist Church","(See also, McGaheysville United Methodist Church)","Church","McGaheysville","Methodist","HRHS Churches Database 2013"
"McGaheysville Road","McGeheysville Road","Road","A road extending generally NE-SW and then ESE-WNW. Probably begins at Elkton as describe in McGeheysville Road. VDOT map 1932 shows beginning as at Eastern intersection of SR 630 and 754, about 2.3 mi SSW of Elkton, ends at intersection of U.S. Rt.33","   -","HRHS Archives # 86 Whitmer"
"Newtown Colored School","   -","School","Near intersection of SR 638 & 759. About 1.8 mi SSW of Fox Mountain.","   -","HRHS Archives # 86 Whitmer"
"Newtown School Number 8","   -","School","On SR 619. About 2.5 mi SE of Broadway.","   -","HRHS Archives # 86 Whitmer"
"Nicewanger & Roffer","   -","Business","East Plains","P. 24","1885 Lakes Atlas Revised 2013"
"Rest Haven Memorial Gardens","   -","Church","A cemetery on U.S. Rt. 11 about 2.1 mi NE of the courthouse in Harrisonburg.","   -","HRHS Archives # 86 Whitmer"
"Revere House","   -","Structure","Harrisonburg","P. 16","1885 Lakes Atlas Revised 2013"
"Rhodes & Bro Store","   -","Business","East Central","P. 12","1885 Lakes Atlas Revised 2013"
"Rhodes (Roth) Family Cemetery","   -","Cemetery","Broadway area, Rockingham County, Virginia. From Harrisonburg, Virginia, take Route 42 (Harpine Highway) towards Broadway. Travel several miles and just before Route 809 (Trissels Road) on the left side of Route 42, is a large brick house and farm (J","   -","HRHS Cemeteries Database 2013"
"Rice Family Cemetery","   -","Cemetery","West of Dayton, Rockingham County, Virginia.  From Harrisonburg travel south on Route 42 (John Wayland Highway).  In Dayton take a right onto Ottobine Road (Route 257).  Go 2.4 miles, cross Dry River, and turn right onto West Dry River Road (Route 73","   -","HRHS Cemeteries Database 2013"
"Richland Heights","   -","Community","A subdivision of '5 and 10 acre farms' SE of Grottoes. Roughly bounded on N RT 663, on S and E by Shenandoah Natl Park, and on E roughly by longitude 78 48 30W","See Ref: Home of the little planters'","HRHS Archives # 86 Whitmer"
"Richland Mountain","   -","Mountain","Elevation about 3600'. Extends S-N about 1.5 mi from N side of Slate Springs Mountain. Center about 3 mi S of High Knob.","   -","HRHS Archives # 86 Whitmer"
"Richland Mtn","   -","Mountain","West Ashby","P. 8","1885 Lakes Atlas Revised 2013"
"Riddle Family Cemetery","   -","Cemetery","Broadway area, Rockingham County, Virginia.  From Harrisonburg, Virginia, take Route 42 north.  In Broadway take Route 259 (Brocks Gap Road) west.  From the intersection of Route 259 and Route 612 (Runions Creek Road) go 1/10th mile and turn right on","   -","HRHS Cemeteries Database 2013"
"Riddle Place now Turner Cemetery","   -","Cemetery","Fulks Run area, Rockingham County, Virginia. Cemetery is north of Route 612 at Hebron Mennonite Church.","   -","HRHS Cemeteries Database 2013"
"Riddles Tavern","Thompson's Store, Williamsport, Timberville","Business","   -","   -","Other Sources"
"Ridge Road","Kratzer Road, Middle Road","Road","A road which extended generally NNE-SSW, began at intersection of SR 803 & 806, about 2.5 mi NW of Lacey Spring (mor more likely road began at intersection of SR 259 and 803, .7 mi SE of Broadway), and ended in an interesection with SR 753, about .2","Show G, named 'Kratzer Road' probably in error. Lake G, named 'Middle Road'","HRHS Archives # 86 Whitmer"
"Ridges, The","   -","Hill","Elevation about 1460'. Shelf-like ridge extending SSW-NNE about 1 mi. Center near 38 36 48N, 78 56 28W, about 4.5 mi NNW of Singers Glen.","   -","HRHS Archives # 86 Whitmer"
"Rife Family Cemetery","   -","Cemetery","Timberville area, Rockingham County, Virginia. From Court Square downtown Harrisonburg, take Route 11 North (N. Marin Street name changes to Valley Pike) and go 10.5 miles and turn left onto Route 259 (Mayland Road). Go 4.4 miles and go straight and","   -","HRHS Cemeteries Database 2013"
"Rifetown","Dayton","Town'","   -","   -","Other Sources"
"Rifeville","Dayton","Town'","   -","   -","Other Sources"
"Rinace Cemetery","   -","Cemetery","Page County, Virginia. Recorded directions in 1960s by the D.A.R.-Located at Rinace Corners. About 8 miles northwest of Elkton, Virginia. Is owned by Trinity Church. Borders on land owned by Jack Armentrout and the Shipwreck Farm.","   -","HRHS Cemeteries Database 2013"
"Rinker & Beam","   -","Business","Broadway - Timberville","P. 29","1885 Lakes Atlas Revised 2013"
"Ritchey?s Schoolhouse",,"School","Brock?s Gap (No longer exists)","Dunkard","HRHS Churches Database 2013"
"Ritchie Church","   -","Church","Near intersection of SR 631 and 818. About 4.6 mi W of Fulks Run.","   -","HRHS Archives # 86 Whitmer"
"Ritchie Family Cemetery","   -","Cemetery","Fulks Run, Rockingham County, Virginia. Located at Dwight Hoover's place, formerly Orie Hoover's.    From route 259, turn left at Fulks Run Grocery onto Route 612.  After about 2 miles, turn right onto route 817 toward Mountain Grove Church of the Br","   -","HRHS Cemeteries Database 2013"
"Skidmore Fork","   -","Stream","Rises about .3 mi E of Bother Knob, near 38 30 17N, 79 12 22W, flows NE about 9.5 mi into Dry River near 38 34 01N, 79 05 36W, about 2.4 mi SW of Bald Knob.","   -","HRHS Archives # 86 Whitmer"
"Skidmore Fork","   -","Stream","West Ashby","P. 8","1885 Lakes Atlas Revised 2013"
"Skidmore Fork Road","   -","Road","A road in George Washington Natl Forest, extending NE-SW about 4.7 mi along Skidmore Fork.","   -","HRHS Archives # 86 Whitmer"
"Skingham Lot","   -","Other","Harrisonburg","P. 17","1885 Lakes Atlas Revised 2013"
"Sky","   -","Community","At intersection of SR 772 and 761. About 2.3 mi S of Singers Glen.","   -","HRHS Archives # 86 Whitmer"
"Skyline Drive","   -","Road","Highway extending SW-NE along crest of the Blue Ridge from Rockfish Gap to Front Royal about 105 mi.","   -","HRHS Archives # 86 Whitmer"
"Skyline Trail","   -","Road","A trail extending generally SE-NW near crest of the Blue Ridge, begins near Swift Run Gap, ending unclear, perhaps at Thornton Gap. Is now probably a trail in Shenandoah Natl Park if it still exists. Extended about 4.5 mi in Rockingham Co.","   -","HRHS Archives # 86 Whitmer"
"Slate Knob","Slate Springs Mountain","Mountain","Islate Knob appears to include Flagpole Knob and the ridge between Skidmore Fork and Dunkle Hollow, including Richland Mtn.","   -","HRHS Archives # 86 Whitmer"
"Slate Lick Branch","Slate Lick Run","Stream","Rises about .5 mi SE of Bald Knob, near 38 35 02N, 79 03 25W, flows E about 7.2 mi into Shoemaker River near 38 35 59N, 78 56 17W, about 3.5 mi NNW of Singers Glen.","   -","HRHS Archives # 86 Whitmer"
"Slate Lick Run","Slate Lick Branch","Stream","   -","   -","HRHS Archives # 86 Whitmer"
"Slate Lick Run Cemeteries","   -","Cemetery","Rockingham County, Virginia. Cemetery is located west of Routes 612 and 817 in the George Washington National Forest. West of the Carr place now Joseph Funk place.","   -","HRHS Cemeteries Database 2013"
"Slate Lick Run Cemetery","   -","Cemetery","Rockingham County, Virginia. Located on the David Carr place now Joseph Funk place near Route 817.","   -","HRHS Cemeteries Database 2013"
"Slate Lick Run Game Refuge","   -","Park","A game refuge in George Washington Natl Forest which includes that area drained by Slate Lick Branch above its junction with an unnamed stream near 38 36 26N, 78 58 57W, about 5.3 mi NW of Singers Glen. Refuge bounded on N by crest of Gauley Ridge, o","   -","HRHS Archives # 86 Whitmer"
"Slate Springs","   -","Spring","On Slate Springs Mountain. About 3.8 mi S of High Knob. Spring water flows about 1.1 mi into Dunkle Hollow.","   -","HRHS Archives # 86 Whitmer"
"Slate Springs","   -","Spring","Elevation about 4360'. At Flagpole Knob. About 4.1 mi SSW of High Knob.","   -","HRHS Archives # 86 Whitmer"
"Slate Springs Mountain","Springs Mountain","Mountain","Highest point is Flagpole Knob, elevation about 4360'. Extends W-E about 4 mi from SE side of Shenandoah Mtn. Center about 4 mi S of High Knob.","   -","HRHS Archives # 86 Whitmer"
"Slate Springs Mountain Trail","   -","Road","A jeep trail in George Washington Natl Forest extending E-W about 6.5 mi up Chestnut Ridge and along Slate Springs Mtn. Ends near Flagpole Knob. Mid point near 38 31 25N, 79 08 06W.","   -","HRHS Archives # 86 Whitmer"
"Slate Springs Trail A","   -","Road","A foot trail in George Washington Natl Forest, extending SE-NW about 6 mi on a ridge SE of Flagpole Knob. Begins on Meadow Knob and ends about 1.5 mi NW of Briery Branch community. Center near 38 29 30N, 79 08 27N.","   -","HRHS Archives # 86 Whitmer"
"Slate Springs Trail AA","   -","Road","A foot trail in George Washington Natl Forest, extending SSE-NNW aobut 2.3 mi on a ridge SSE of Flagpole Knob. Trail begins near Flagpole Knob and ends near Hone Quarry Run. Center near 38 29 54N, 79 10 10W.","   -","HRHS Archives # 86 Whitmer"
"Slate Springs Trail B","   -","Road","A foot trail in George Washington Natl Forest, extending SW-NE about 1.2 mi on a ridge near Oak Knob. Begins at Slate Springs Trail A between Pond Knob and Oak Knob, ends near Hone Quarry Run about .6 mi NW of Hone Quarry Dam. Center near 38 29 04N,","   -","HRHS Archives # 86 Whitmer"
"Smith Cemetery","   -","Cemetery","Bennetts Run, Bergton Area, Rockingham County, Virginia. Located in the field behind the present Bennetts Run School house.","   -","HRHS Cemeteries Database 2013"
"Smith Cemetery aka Smith Chapel Site","   -","Cemetery","Elkton area, Rockingham County and Page County line, Virginia. It is located in Crow Hollow on the Rockingham County and Page County line NE of Elkton, Virginia.","   -","HRHS Cemeteries Database 2013"
"Cooks Creek Presbyterian Church","Refer to: Salem Presbyterian Church (Dayton)","Church","Mt. Clinton, near (New Erection)","Presbyterian","HRHS Churches Database 2013"
"Cooks Creek Presbyterian Church Cemetery","   -","Cemetery","East of Mt. Clinton, Rockingham County, Virginia.  From Harrisonburg, at corner of Route 42 (High Street) and Route 33 (West market Street), take Route 33 West 3.2 miles and turn right onto Route 701 (Cooks Creek Road).  Go 1.5 miles to Route 726 (Mo","   -","HRHS Cemeteries Database 2013"
"Cook's Mill","   -","Mill","Thorofare, Elkton","   -","HRHS Mill Books"
"Coon Creek","Cooks Creek","Stream","   -","   -","HRHS Archives # 86 Whitmer"
"Cooper","Sch.","School","East Central","P. 13","1885 Lakes Atlas Revised 2013"
"Cooper Family Cemetery","   -","Cemetery","Hinton Area, Rockingham County, Virginia. From Harrisonburg, Virginia, take Route 33 West toward Rawley Springs. On the left side of the road, you will see a white Church and right next to the church on the west is a lane going up east side of Cooper","   -","HRHS Cemeteries Database 2013"
"Cooper Mountain","Also known as Giants' Grave","Hill","Elevation about 2080'. Extends N - S about 1 mi. Center about 4 mi N of Ottobine.","   -","HRHS Archives # 86 Whitmer"
"Cooper Sch","   -","School","Stonewall","P. 30","1885 Lakes Atlas Revised 2013"
"Cooper School","   -","School","East Plains","P. 25","1885 Lakes Atlas Revised 2013"
"Cooper School","   -","School","East Plains","P. 25","1885 Lakes Atlas Revised 2013"
"Cooper School","   -","School","Stonewall","P. 31","1885 Lakes Atlas Revised 2013"
"Cooper Sh.","   -","School","East Ashby","P. 6","1885 Lakes Atlas Revised 2013"
"Cooper Sh.","   -","School","East Ashby","P. 7","1885 Lakes Atlas Revised 2013"
"Cooper Sh.","   -","School","West Ashby","P. 9","1885 Lakes Atlas Revised 2013"
"Cooper Shop","   -","Business","East Ashby","P. 6","1885 Lakes Atlas Revised 2013"
"Cooper Shop","   -","Business","West Ashby","P. 9","1885 Lakes Atlas Revised 2013"
"Cooper Shop","   -","Business","Bwtr, Mt. Crfd, Rushvl, Sprg Crk","P. 10","1885 Lakes Atlas Revised 2013"
"Cooper Shop","   -","Business","Port Republic","P. 22","1885 Lakes Atlas Revised 2013"
"Cooper Shop","   -","Business","Stonewall","P. 30","1885 Lakes Atlas Revised 2013"
"Cooper Shop","   -","Business","Stonewall","P. 31","1885 Lakes Atlas Revised 2013"
"Cooper-May Cemetery","   -","Cemetery","Bergton Area, Rockingham County, Virginia. Cemetery is located on Crab Run Road (Route 820) near Bergton, Virginia.","   -","HRHS Cemeteries Database 2013"
"CooperShp.","   -","Business","Stonewall","P. 31","1885 Lakes Atlas Revised 2013"
"Cootes Store","Coates Store, Cootes Store Post Office","Community","Located on North Fork Shenandoah River, about .8 mi SE of Brocks Gap.","Named 'Cootes Store Post Office' on Lake G map, named 'Coates Store' on Gray H map","HRHS Archives # 86 Whitmer"
"Cootes Store P.O.","   -","Post Office","East Plains","P. 24","1885 Lakes Atlas Revised 2013"
"Cootes Store Post Office","   -","Post Office","   -","Named 'Cootes Store' on 7.5' map","HRHS Archives # 86 Whitmer"
"Corbin Snyder Cemetery","   -","Cemetery","Bergton Area, Rockingham County, Virginia. Cemetery is located on a ridge to the left of the present day Elbert Dove house on Route 824 (Bennett Run Road).","   -","HRHS Cemeteries Database 2013"
"Cosby Mill","   -","Mill","Grottoes","   -","HRHS Mill Books"
"County Alms H","   -","Structure","East Ashby","P. 7","1885 Lakes Atlas Revised 2013"
"County Alms House","   -","Structure","On present day SR 679. About 1.1 mi N of Pleasant Valley community.","Lake G map shows Alms House on W side of Blacks Run","HRHS Archives # 86 Whitmer"
"County Fairgrounds","   -","Park","Near SR 753 about 2.3 mi N of Courthouse in Harrisonburg.","This is the old location, north of town. R.R. Donnelly Co. is there now.","HRHS Archives # 86 Whitmer"
"County Line Church","Lukes Church","Church","   -","Named Lukes Church on 7.5' map","HRHS Archives # 86 Whitmer"
"County Line Road","Hall Spring Road","Road","A road extending generally NNE-SSW along crest of Shenandoah Mountain. Begins at W end of SR 826 & ends near Smooth Ridge, about 3.7 mi NNE of High Knob. (The road probably continued S to Dry River Gap & U.S. 33 but did so in Pendleton Co & is not sh","VA DoH 1939-32. Portion named 'Hall Spring Road' on 7.5' map.","HRHS Archives # 86 Whitmer"
"Court Hse.","   -","Structure","Harrisonburg","P. 17","1885 Lakes Atlas Revised 2013"
"Court Hse. Lot US","   -","Structure","Harrisonburg","P. 17","1885 Lakes Atlas Revised 2013"
"Court Manor","   -","Business","On U.S. Rt.11. About 1.8 mi NE of Tenth Legion","   -","HRHS Archives # 86 Whitmer"
"Cove Mountain","   -","Mountain","Elevation 2322'. About 1.5 mi ENE of Bergton.","Pit G map shows Concord Church on SR 619 about 2.9 mi NNW of Tenth Legion, near 38 37 04N, 78 44 29N","HRHS Archives # 86 Whitmer"
"Cove Mountain","   -","Mountain","Elevation 2730'. Extends NNE-SSW about 2 mi center in Hardy County W.Va, about 3.3 mi WSW of Orkney Springs.","Only the extreme SSW end of Cove Mntn is in Rockingham Co.","HRHS Archives # 86 Whitmer"
"Cow Knob","   -","Mountain","Elevation 4036'. About 9.3 mi WNW of Fulks Run","   -","HRHS Archives # 86 Whitmer"
"Cow Ridge","   -","Mountain","Elevation about 3400'. Extends NNW-SSE about 1.5 mi. Center about 2 mi N of Bald Knob.","   -","HRHS Archives # 86 Whitmer"
"Cowans Depot","Daphna","Community","   -","Named 'Daphna' on 7.5' map.","HRHS Archives # 86 Whitmer"
"Cowan's P.O.","   -","Post Office","East Plains","P. 24","1885 Lakes Atlas Revised 2013"
"Cowans Post Office","Daphna","Post Office","   -","Named 'Daphna' on 7.5' map.","HRHS Archives # 86 Whitmer"
"Cowger Ridge","   -","Hill","Elevation about 1820'. Extends ENE for about 1.5 mi from E side of Supin Lick Mntn. Highest point near 38 43 24N, 78 49 29W. Center about 4 mi W of Moores Store which is in Shenandoah County.","   -","HRHS Archives # 86 Whitmer"
"Crab Run","   -","Stream","Rises in Hardy Co. W.Va. About 5.1 mi NNE of Bergton, near 38 50 24N, 78 54 54W, flows SSW about 6.8 mi into North Fork Shenandoah River near 38 46 03N, 78 56 27W at Bergton.","   -","HRHS Archives # 86 Whitmer"
"Crab Run Church of the Brethren","(See also, Crab Run Dunkard Church)","Church","West Virginia, west of Brock's Gap","Church of the Brethren","HRHS Churches Database 2013"
"Crab Run Dunkard Church","(See also, Crab Run Church of the Brethren)","Church","West Virginia, west of Brock's Gap","Dunkard","HRHS Churches Database 2013"
"Crab Run Memorial Cemetery","   -","Cemetery","Bergton Area, Rockingham County, Virginia. From Harrisonburg, Virginia, go through Broadway and take Route 259 west (Brocks Gap Road). Drive past Fulks Run Grocery Store and continue on Rt. 259 till you come to Route 820 (Bergton Road) and turn left.","   -","HRHS Cemeteries Database 2013"
"Crab Run Road","   -","Road","A road extending generally NE about 8.6 mi in part along Crab Run. Midpoint near 38 49 14N, 78 55 48W, in Hardy county W.Va. About 3.6 mi N of Bergton.","Crab Run Road is SR 820 in Rockingham Co. & Hardy Co. Rt. 18 Hardy Co. W.Va.","HRHS Archives # 86 Whitmer"
"Craney Island Mill","Byrd Mill","Mill","Smith Creek","   -","HRHS Mill Books"
"Craney Island Mills","   -","Mill","At intersection of SR 620 & 794. About 4.1 mi NE of Tenth Legion.","   -","HRHS Archives # 86 Whitmer"
"Craney Island School","   -","School","On SR 794 about 3.9 mi NE of Tenth Legion.","   -","HRHS Archives # 86 Whitmer"
"Craun Ridge","   -","Hill","Elevation about 1880'. Extends NE-SW about 1 mi. Center about 2.5 mi E of Rawley Springs.","   -","HRHS Archives # 86 Whitmer"
"Crawford Family Cemetery 1","   -","Cemetery","From the intersection of Route 11 (South Main Street) and Route 659 (Port Republic Road), take Route 659 (east) and go 12.1 miles.  Cross over Route 340 (East Side Highway) and stay on Route 659 until it deadends into Route 663 (Browns Gap Road) and","   -","HRHS Cemeteries Database 2013"
"Crawford Family Cemetery 2","   -","Cemetery","War Branch/Peaked Mountain area, Rockingham County, Virginia.  Take Route 33 west to Route 613 (Whitemore Shop Road).  Turn right onto Route 613 and go 1.2 mile to Route 726 (War Branch Road).  Turn left onto Route 726.  Go 6/10 mile and on the right","   -","HRHS Cemeteries Database 2013"
"Creek","Comfort","Stream","Stonewall","P. 30","1885 Lakes Atlas Revised 2013"
"Creek","Hawksbill","Stream","Stonewall","P. 30","1885 Lakes Atlas Revised 2013"
"Creek","Smith's","Stream","East Plains","P. 25","1885 Lakes Atlas Revised 2013"
"Creek Church","Linville Creek Church","Church","   -","Named 'Linville Creek Church' on 7.5' map","HRHS Archives # 86 Whitmer"
"Crider","   -","Community","Stonewall","P. 30","1885 Lakes Atlas Revised 2013"
"Crider Cemetery #","   -","Cemetery","Refer to the Caplinger Cemetery. The name has changed over the years."," # No longer exists, renamed, or moved.","HRHS Cemeteries Database 2013"
