"placename","othername","designator","location","remarks","infosource","RandID"
"Naked Creek","   -","Stream","Rises about 4.8 mi ESE of Parnassus in Augusta County, near 38 16 40N, 79 02 00W, flows ENE about 9 mi into North River near 38 18 15N, 78 54 53W, about 4 mi SSE of Mt. Crawford.","   -","HRHS Archives # 86 Whitmer","160335548898"
"Naked Creek","   -","Stream","East Ashby","P. 7","1885 Lakes Atlas Revised 2013","954905706568"
"Naked Creek Baptist Church","   -","Church","North of Elkton at Page Co. line.","Baptist Primitive","HRHS Churches Database 2013","914971019218"
"Naked Creek Baptist Church - Page Co.","   -","Church","North of Elkton over Page Co. line.","Baptist","HRHS Churches Database 2013","444297599349"
"Naked Creek Church","Blouse Church","Church","   -","Named 'Blouse Church' on VDoT 1939-32 map","HRHS Archives # 86 Whitmer","154370878200"
"Naked Creek Church","Refer to: St. Peters Lutheran Church (Old). (See also, others listed with the referred church.)","Church","Elkton, north. Naked Creek.","Lutheran","HRHS Churches Database 2013","411361433764"
"Naked Creek Lutheran Church","Refer to: St. Peter's Lutheran Church (See also, Peaked Mountain Lower, and Naked Creek Lutheran Ch)","Church","Elkton, north of.","Lutheran","HRHS Churches Database 2013","533672834942"
"Naked Creek Methodist Episcopal Church","   -","Church","Naked Creek (Augusta County line)","Methodist Episcopal","HRHS Churches Database 2013","182140153704"
"Naked Creek Mill","   -","Mill","Naked Creek","   -","HRHS Mill Books","80895921718"
"Nakek Creek","   -","Stream","Stonewall","P. 30","1885 Lakes Atlas Revised 2013","397589505544"
"Nangus (Vernangus) Shifflett Family Cemetery","   -","Cemetery","Travel east on Route 33 through Elkton and park at roadside opposite entrance to Skyline Drive.  Walk up south bank to old road (Spotswood Trail), which is overgrown for its entire length.  Walk downhill (west) about 1/2 mile.  Fenced cemetery on rig","   -","HRHS Cemeteries Database 2013","721478976080"
"Narrow Back Mountain","Narrow Back Mountains","Mountain","Elevation 2639'. Extends SSW-NNE about 11 mi. Highest point near 38 29 28N, 79 04 33W. Eastern most ridge of Shenandoah Mountain in the SW part of Rockingham County.","   -","HRHS Archives # 86 Whitmer","4661239081"
"Narrow Back Mountains","Narrow Back Mountain","Mountain","   -","Named 'Narrow Back Mountain' on Pit G","HRHS Archives # 86 Whitmer","572932612786"
"Narrow Back Mtn","   -","Mountain","West Ashby","P. 9","1885 Lakes Atlas Revised 2013","330374904284"
"Nash Hill","   -","Hill","Elevation about 1640'. At southern end of Church Mountain, about 1 mi NNW of Fulks Run","   -","HRHS Archives # 86 Whitmer","118797043877"
"Nash Hollow","   -","Valley","Runs N to S. Extends about 1.3 mi. Mouth of hollow opens onto North Fork Shenandoah River, near 38 39 37N, 78 54 46W. Hollow begins near 38 40 48N, 78 54 26W. Center about .8 mi NNW of Fulks Run.","   -","HRHS Archives # 86 Whitmer","997743609637"
"Natural Falls Milling Company","   -","Mill","Bridgewater","   -","HRHS Mill Books","802509446074"
"Nave Family Cemetery","   -","Cemetery","Cootes Store area, Rockingham County, Virginia.  Cemetery was located on the north side of Route 259 (Brocks Gap Road) on hill west of Route 613 (North Mountain Road).","   -","HRHS Cemeteries Database 2013","243347238560"
"Naylor Cemetery","   -","Cemetery","Near SR 623 about 1.1 mi SSW of Huckleberry Mountain.","   -","HRHS Archives # 86 Whitmer","761757893823"
"Naylor Cemetery","   -","Cemetery","Elkton Area, Rockingham County, Virginia.  From Elkton at U.S. 340, go east on U.S. 33 for 3.95 miles and turn left onto Rt. 624 (Mill Lane) and go to end to T intersection with Rt. 623 (Mt. Pleasant Road). Turn right onto Rt. 623 and go 0.5 miles. T","   -","HRHS Cemeteries Database 2013","763565058215"
"Near Hollow","   -","Valley","Runs SW to NE, drained by Turley Creek. Extends about 2 mi, mouth of Hollow near 38 36 06N, 78 52 29W, beginning near 38 39 50N, 78 53 41W. Center about 3.2 mi NNE of Singers Glen.","   -","HRHS Archives # 86 Whitmer","271544472000"
"Nesselrodt Plot","   -","Cemetery","Bergton area, Rockingham County, Virginia. Cemetery is located on the A.F. May place on Bennetts Run near Bergton.","   -","HRHS Cemeteries Database 2013","697366367656"
"New Dale Church","   -","Church","Tenth Legion, west","Mennonite / Dunker / Union Church","HRHS Churches Database 2013","408442642153"
"Nicewarner & Roed.","   -","Business","Broadway - Timberville","P. 29","1885 Lakes Atlas Revised 2013","510397098715"
"Nicholas & Bishop","   -","Business","Linville","P. 22","1885 Lakes Atlas Revised 2013","626739500768"
"Nicholas & Bishop","   -","Business","Dayton","P. 22","1885 Lakes Atlas Revised 2013","865495290728"
"Nicholas & Bishop","   -","Business","Port Republic","P. 22","1885 Lakes Atlas Revised 2013","323733275343"
"Nicholas' Tavern","   -","Business","   -","   -","Other Sources","511213959424"
"Nim Dove Cemetery","   -","Cemetery","Criders Area, Rockingham County, Virginia. Located on the Shenandoah Mountain above Criders, Virginia.","   -","HRHS Cemeteries Database 2013","925126264971"
"No. F. Shen. R","   -","River","Broadway - Timberville","P. 29","1885 Lakes Atlas Revised 2013","341201743871"
"Noble Center School",,"School","At intersection of SR 735 & 736. About 1.1 mi S of Mole Hill","   -","HRHS Archives # 86 Whitmer","20382888043"
"Norfolk & Western Railway","Shenandoah Valley Rail Road","Railroad","In Rockingham County from Shenandoah, in Page County, along South Fork Shenandoah River, through Elkton & SW thorugh Grottoes toward Waynesboro in Augusta County.","Named 'Shenandoah Valley Rail Road' on Lake G, p.7, 38-39","HRHS Archives # 86 Whitmer","560558155385"
"Normal School Va.","   -","College","East Ashby","P. 6","1885 Lakes Atlas Revised 2013","943672410133"
"Rocky Spur Hollow","   -","Valley","Runs SSW to NNE. Extends about 1.5 mi. Mouth of hollow opens onto Martin Lick Run, near 38 44 44N, 78 56 16W. Hollow begins near 38 43 30N, 78 56 49W. Center about 1.9 mi ENE of Wetzel Knob.","   -","HRHS Archives # 86 Whitmer","644092942743"
"Rockytop","   -","Mountain","Elevation 2856'. On Blue Ridge about 3.8 mi S of Rocky Bar.","Benchmark elevation of 2856' is on unnamed peak north of labled 'Rockytop'. This feature is probably mislabeled.","HRHS Archives # 86 Whitmer","888277337886"
"Rockytop Overlook","   -","Road","Elevation 2862'. On Skyline Drive. About 2.7 mi ESE of Rockytop.","   -","HRHS Archives # 86 Whitmer","450988943292"
"Rockytop Trail","   -","Road","A foot trail in Shenandoah Natl Park extending S-N about 6.3 mi. Trail follows ridge which is on West side of Big Run. Begins at road about 1.5 mi N of Rockytop. Ends at Appalachian Trail in Albemarle Co. about .5 mi NNE of Browns Gap. Midpoint near","   -","HRHS Archives # 86 Whitmer","737763416152"
"Rodeffer &Nicewarner","   -","Business","Broadway - Timberville","P. 29","1885 Lakes Atlas Revised 2013","757782250408"
"Roders Church Road","Rader Church Road, Raders Chapel Road","Road","A road extneding generally SE-NW, partially along Honey Run and partially along Fort Run. Begins at Timberville and ends at intersection of SR 613 and 881. Is now present day SR 881. Extends about 4 mi.","   -","HRHS Archives # 86 Whitmer","46802763022"
"R?ders Lutheran Church","(See also, Raders Lutheran Church)","Church","Timberville. West of town.","Lutheran / German Reformed","HRHS Churches Database 2013","674861501693"
"Roedeffer & Nice.","   -","Business","Broadway - Timberville","P. 29","1885 Lakes Atlas Revised 2013","495558712047"
"Roller & Roller","   -","Business","Harrisonburg","P. 16","1885 Lakes Atlas Revised 2013","517888802279"
"Roller Arehart Myers","   -","Business","Broadway - Timberville","P. 29","1885 Lakes Atlas Revised 2013","170688272776"
"Root Run","   -","Stream","Runs about 4.3 mi WNW of Fulks Run, near 38 40 23N, 78 59 04W, flows NE about 2.3 mi into Marshall Run near 38 41 21N, 78 57 37W, about 3.6 mi NW of Fulks Run","   -","HRHS Archives # 86 Whitmer","824186785019"
"Rosedale","Endless Caverns","Cave","   -","   -","HRHS Archives # 86 Whitmer","922434144139"
"Rosenberger - Sipe Family Cemetery","   -","Cemetery","Tenth Legion, Rockingham County, Virginia. East of Tenth Legion located off Route 620 on a high hill on the Benjamin White farm.","   -","HRHS Cemeteries Database 2013","228782844898"
"Rosenberger Cemetery","   -","Cemetery","East of Tenth Legion, Rockingham County, Virginia. Refer to Hoof - Huff Cemetery..","   -","HRHS Cemeteries Database 2013","964730505825"
"Rosendale","   -","Community","East Plains","P. 25","1885 Lakes Atlas Revised 2013","191568734527"
"Roudabush Mill","   -","Mill","Cub Run, Penn Laird","   -","HRHS Mill Books","614351406235"
"Round Hill","   -","Hill","Elevation 1957'. Rises about 1.2 mi S of Singers Glen","   -","HRHS Archives # 86 Whitmer","495237305273"
"Round Hill","   -","Hill","Elevation 1728'. About .5 mi W of Bridgewater","   -","HRHS Archives # 86 Whitmer","597621966389"
"Round Hill","   -","Hill","Elevation 1595'. About 2 mi SSE of Broadway","   -","HRHS Archives # 86 Whitmer","189995955345"
"Round Hill","   -","Hill","East Ashby","P. 6","1885 Lakes Atlas Revised 2013","661545852209"
"Round Hill","   -","Hill","East Linville Creek","P. 18","1885 Lakes Atlas Revised 2013","144981465205"
"Roundtop","   -","Mountain","Elevation 2966'. On Blue Ridge about 2.9 mi SW of Swift Run Gap.","   -","HRHS Archives # 86 Whitmer","903018409491"
"RR B&O Val. Br.","   -","Railroad","Broadway - Timberville","P. 29","1885 Lakes Atlas Revised 2013","620493148661"
"Brown Memorial UCC Cemetery #","   -","Cemetery","McGaheysville, Rockingham County, Virginia.  Refer to Peaked Mountain Church Cemetery."," # No longer exists, renamed, or moved.","HRHS Cemeteries Database 2013","663030098868"
"Brown Memorial United Church of Christ","Refer to: Peaked Mountain (Upper Church)","Church","McGaheysville","United Church of Christ","HRHS Churches Database 2013","41252132798"
"Brown Mountain","   -","Mountain","Elevation about 2540'. On Blue Ridge about 1.6 mi NE of Rocky Top.","BGN 1933","HRHS Archives # 86 Whitmer","873437364003"
"Brown Mountain Overlook","   -","Road","Elevation 2844'. On Skyline Drive about 3 mi E of Rocky Top.","   -","HRHS Archives # 86 Whitmer","876852584492"
"Brown Rocky Mountain Trail","   -","Road","A foot trail in Shenandoah National Park extending W-E about 4.4 mi. Trail follows ridge on which are Brown Mountain & Rocky Mountain. Begins at road near Big Run, about 1.3 mi NNE of Rocky Top. Ends on Skyline Drive at Brown Mountain Overlook. Midpo","   -","HRHS Archives # 86 Whitmer","354829802862"
"Browns Gap","Brown Gap","Gap","An air gap in the Blue Ridge about 6.5 mi ESE of Grottoes. Elevation 2599'. Restricted National Park roads descend from either side of the gap down the ridge. The road in Rockingham County is Madison Run Road.","BGN 1933, Named 'Brown Gap' on Pit G.","HRHS Archives # 86 Whitmer","57402943889"
"Brown's Gap","   -","Gap","Stonewall","P. 31","1885 Lakes Atlas Revised 2013","719150469314"
"Brown's Gap Cemetery","   -","Cemetery","Grottoes area, Rockingham County, Virginia. Cemetery is located in Brown's Gap area, 3 miles east of Grottoes on Road 659 (Port Republic Road) near the intersection with Route 663 (Brown's Gap Road).","   -","HRHS Cemeteries Database 2013","629031775686"
"Browns Gap Road","Madison Run Road","Road","A road extending generally WNW-SSE, paralleling Madison Run. Begins at intersection of SR 605 & 659, at Port Republic, ends at Browns Gap. Is now portion of present day SR 659 & all of Madison Run Road in Shenandoah National Park. Extends about 8.3 m","Portion in Shenandoah National Park named 'Madison Run Road' on 7.5' maps.","HRHS Archives # 86 Whitmer","665482771985"
"Browns Gap Road","   -","Road","Shows Browns Gap as also starting in Grottoes as SR 663. Begins at intersection of US Rt.340 & SR 663, joins Browns Gap Road as described on VA DoH 1939-32 at intersection of SR 659 & 663. Is now present day SR 663. This leg of Browns Gap Road extend","   -","HRHS Archives # 86 Whitmer","40689951721"
"McGaheysville United Methodist Church","Refer to: McGaheysville Methodist Church","Church","McGaheysville","United Methodist","HRHS Churches Database 2013","52611970686"
"McGeheysville Road","McGaheysville Road","Road","A road extending generally NE-SW. Begins at intersection U.S. Rt.33 and 340 at Elkton, ends near intersection of SR 649 and 754, about 3.2 mi ESE of McGaheysville. Is now portions of U.S. Rt.340 and SR 754. Extends about 6 mi.","   -","HRHS Archives # 86 Whitmer","755109330466"
"New Erection Church","Cooks Creek Church","Church","   -","Named 'Cooks Creek Church' on 7.5' map","HRHS Archives # 86 Whitmer","544150961121"
"New Erection School","School Number 6 and 23","School","At intersection of SR 701 and 755. About 2.3 mi NE of Mole Hill","Lake G, pg 16, Pit G","HRHS Archives # 86 Whitmer","27353036494"
"New Hope Baptist Church Cemetery (*)","   -","Cemetery","McGaheysville, Rockingham County, Virginia. From Harrisonburg, take Route 33 East to Route 998 (Old McGaheysville Road) and turn right, then turn right on Dave Berry Road.  Go about 1 mile and turn left on a gravel lane. The cemetery is on the left s","* Negro","HRHS Cemeteries Database 2013","54974782062"
"New Hope Church","Mount Pleasant","Church","On SR 720. About 2 mi NW of Keezletown","Named 'Mount Pleasant Church' on Pit G","HRHS Archives # 86 Whitmer","570350781391"
"New Hope Church","   -","Church","On SR 996 near McGaheysville","Unnamed church symbol at that loction on Show G, pg. 22","HRHS Archives # 86 Whitmer","770849718744"
"New Hope United Church of Christ","   -","Church","Harrisonburg. Smithland Road","United Church of Christ","HRHS Churches Database 2013","599534449871"
"New Hope United Church of Christ Cemetery","   -","Cemetery","1020 Smithland Road, Harrisonburg, Rockingham County, Virginia.  Take Route 33 East (East Market Street) and go 0.7 miles and turn left onto Old Furnace Road (Road 718).  Go 1.5 miles and turn right onto Smithland Road.  Go 1.2 miles and church and c","   -","HRHS Cemeteries Database 2013","453829295832"
"New Penn Laird Milling Company","   -","Mill","Penn Laird","   -","HRHS Mill Books","145989075548"
"Newdale Church","   -","Church","On SR 797. About 1.6 mi N of 10th Legion.","   -","HRHS Archives # 86 Whitmer","894047703865"
"Newdale School Number 9","   -","School","On SR 796 & 797. About 1.4 mi N of 10th Legion","   -","HRHS Archives # 86 Whitmer","175519565629"
"Newhaven","   -","Community","Opposite Port Republic on river","   -","Other Sources","912528909380"
"Newman & Lurty","   -","Business","West Central","P. 15","1885 Lakes Atlas Revised 2013","525434426693"
"Newtown","Colored Settlement","Community","At intersection of SR 759 & 638. About 1.8 mi SSW of Fox Mountain.","Shown as 'Colored settlement' on Lake G, p.38","HRHS Archives # 86 Whitmer","765616998019"
"Newtown Cemetery (*)","   -","Cemetery","Harrisonburg, Rockingham County, Virginia. Cemetery is located on Kelley Street, between Sterling Street and Hill Street, in Harrisonburg, Virginia.","* Negro","HRHS Cemeteries Database 2013","292977198887"
"East Side Addition","   -","Community","A subdivision in Broadway. Between Lee St. on N, Broadway Ave on S, & to E & W Atlantic Ave","   -","HRHS Archives # 86 Whitmer","826535360514"
"East Side Highway","   -","Road","A road extending generally ENE-WSW., paralelling South Fork Shenandoah River. Begins near intersection SR 649 & 754, about 3.2 mi ESE of McGaheysville, ends at intersection of SR 659 & 955, about .2 mi SSE of Port Republic. Is now portion of SR 754 &","   -","HRHS Archives # 86 Whitmer","378084437298"
"Eastern Mennonite College","Eastern Nennonite School","College","   -","   -","HRHS Archives # 86 Whitmer","2323904946"
"Eastern Mennonite College","   -","College","Park View, Harrisonburg","   -","Other Sources","940669245276"
"Eastern Mennonite School","Eastern Mennonite College","College","   -","   -","HRHS Archives # 86 Whitmer","319446730748"
"Eastham & Moffett","   -","Business","East Central","P. 12","1885 Lakes Atlas Revised 2013","417621859674"
"Eastham & Moffett","   -","Business","East Central","P. 12","1885 Lakes Atlas Revised 2013","320379574365"
"Eastlawn Memorial Gardens","   -","Business","A cemetery on U.S. Rt.33. About .8 mi NNE of Massanetta Springs.","   -","HRHS Archives # 86 Whitmer","593468440477"
"Eaton Hollow","   -","Valley","Runs NNE & opens onto Hawksbill Creek. Bounded by Bush Mountain on E. About 1.3 mi Long. Ceneter near 38 20 25N, 78 36 15W. About 3.3 mi SW of Swift Run Gap.","Drained by Cold Comfort Creek","HRHS Archives # 86 Whitmer","412206699277"
"Eaton Hollow","   -","Valley","Runs SE & opens onto Runion Creek. About 1 mi long. Ceneter near 38 41 25N, 78 52 45W. About 3 mi N of Brocks Gap","What strm drains this?","HRHS Archives # 86 Whitmer","230203142900"
"Eaton Hollow Overlook","   -","Road","Elevation 2501'. On Skyline Drive about 4 mi SW of Swift Run Gap.","   -","HRHS Archives # 86 Whitmer","616773718378"
"Eby Feed Service","   -","Mill","Harrisonburg","   -","HRHS Mill Books","450070312292"
"Ed Hensley Cemetery","   -","Cemetery","Elkton area, Rockingham County, Virginia.  Go 1.7 miles from U.S. 340 on U.S. 33 east and turn left onto Rt. 634 for 6/10 mile.  Turn right on Rt 623 and go 7/10 mile and turn left just before crossing bridge.  Go past house and turn left past fence.","   -","HRHS Cemeteries Database 2013","338005623893"
"Edom","Edom Post Office","Community","At intersection of SR 42 & 721. About 1.2 mi WNW of Linville.","   -","HRHS Archives # 86 Whitmer","876420068812"
"Edom - Burruss Mill","   -","Mill","Edom","   -","HRHS Mill Books","38077121859"
"Edom Church","   -","Church","On SR 42 about 1.3 mi W of Linville.","   -","HRHS Archives # 86 Whitmer","119737454279"
"Edom Church","   -","Church","East Linville Creek","P. 18","1885 Lakes Atlas Revised 2013","930267600521"
"Edom Lutheran Church","Refer to Edom Union Church","Church","Edom","Lutheran","HRHS Churches Database 2013","258148378176"
"Edom Methodist Church Cemetery","   -","Cemetery","Edom, Rockingham County, Virginia.  On Jesse Bennett Way beside the Edom Methodist Church.","   -","HRHS Cemeteries Database 2013","42127194340"
"Edom Methodist Episcopal Church","Refer to Edom Union Church","Church","Edom","Methodist Episcopal, South","HRHS Churches Database 2013","576622654556"
"Linville Methodist Church","   -","Church","Linville","Methodist","HRHS Churches Database 2013","12693123052"
"Linville Mill","   -","Mill","A water powered mill on Linville Creek, probably about 1 mi NW of Linville.","Show G., p.14 says 'Site of Linville Mill'","HRHS Archives # 86 Whitmer","176795389993"
"Linville P. O.","   -","Post Office","East Linville Creek","P. 18","1885 Lakes Atlas Revised 2013","656638282840"
"Linville Post Office","Linville, Linville Depot, Linville Station","Post Office","   -","   -","HRHS Archives # 86 Whitmer","36158728030"
"Linville Road","   -","Road","A road extending generally S-N. Begins at intersection of SR 721 & 753 in Linville & extends at least as far as Linville Station, at intersection of SR 753 & 780, probably further. Is now part of Present day SR 752","   -","HRHS Archives # 86 Whitmer","62539642109"
"Linville School","   -","School","East Linville Creek","P. 18","1885 Lakes Atlas Revised 2013","793062285105"
"Linville School","   -","School","Linville","P. 22","1885 Lakes Atlas Revised 2013","135562675271"
"Linville School Number 9","   -","School","On SR 753 about 3.2 mi NNE of the Courthouse in Harrisonburg.","   -","HRHS Archives # 86 Whitmer","711778687712"
"Linville Spring","   -","Spring","About 2.6 mi SSE of Singers Glen. Spring water flows less than .1 mi into West Fork of Linville Creek","   -","HRHS Archives # 86 Whitmer","848242517963"
"Linville Spring","   -","Spring","East Linville Creek","P. 18","1885 Lakes Atlas Revised 2013","760810022362"
"Linville Stable","   -","Spring","Linville","P. 22","1885 Lakes Atlas Revised 2013","951351985054"
"Linville Station","Linville Post Office, Linville Depot","Railroad","At intersection of Southern Railway Line & SR 753. About .8 mi N of Linville.","Linville Depot, Linville Post Office","HRHS Archives # 86 Whitmer","401566713243"
"Linville Station & Post Office","Linville Station, Linville Post Office, Linville Depot","Railroad","   -","   -","HRHS Archives # 86 Whitmer","710301891340"
"Linville United Brethren Church (Colored)","   -","Church","Linville (No longer exists)","United Brethren","HRHS Churches Database 2013","220249844163"
"Linville-Edom School","   -","School","On SR 721 about .6 mi W of Linville","   -","HRHS Archives # 86 Whitmer","309639731831"
"Liola P O","   -","Post Office","Stonewall","P. 31","1885 Lakes Atlas Revised 2013","18689794956"
"Liola Post Office","Grottoes","Post Office","   -","Also known as Grottoes","HRHS Archives # 86 Whitmer","63407168983"
"Liskey Mill","   -","Mill","Pleasant Valley","   -","HRHS Mill Books","560384070607"
"Pleasant Hill School Number 15","Pleasant Hill School","School","   -","   -","HRHS Archives # 86 Whitmer","980917233233"
"Pleasant Run","   -","Stream","Rises about 1.3 mi WNW of Massanetta Springs, near 38 24 20N, 78 51 30W, flows SW about 6.6 mi into North River near 38 20 40N, 78 55 28W, about 1.2 mi SE of Mt. Crawford","   -","HRHS Archives # 86 Whitmer","517598512098"
"Pleasant Run Church","Saint James Church","Church","At intersection of SR 704 & 705, about .4 mi WSW of Pleasant Valley Community.","   -","HRHS Archives # 86 Whitmer","154485450938"
"Pleasant Run Church","   -","Church","East Ashby","P. 7","1885 Lakes Atlas Revised 2013","999939440316"
"Pleasant Run Dunker Church","   -","Church","Pleasant Valley (No longer exists)","Dunkard","HRHS Churches Database 2013","388264210967"
"Pleasant Valley","Rockingham","Community","   -","   -","Other Sources","946614706831"
"Pleasant Valley Alms Cemetery","   -","Cemetery","Harrisonburg, Rockingham County, Virginia. From Harrisonburg, take Route 11 South (South Main Street). Turn left on to Route 679 (Pleasant Valley Road), then, turn left on to Route 710 (Greendale Road). Go less than 5/10 mile and sign marking cemeter","   -","HRHS Cemeteries Database 2013","175313626224"
"Pleasant Valley Depot","Pleasant Valley","Community","   -","   -","HRHS Archives # 86 Whitmer","583127693753"
"Pleasant Valley Mennonite Fellowship Church Cem.","   -","Cemetery","Pleasant Valley area, Rockingham County, Virginia. From the corner of Route 11 south (Main Street) and Route 659 (Port Republic Road) travel east 5.3 miles on Route 659. Turn right onto  Route 276 (Cross Keys Road). Go a short distance and turn right","   -","HRHS Cemeteries Database 2013","326005603607"
"Pleasant Valley P.O.","   -","Post Office","East Ashby","P. 7","1885 Lakes Atlas Revised 2013","358870403752"
"Pleasant Valley Road","   -","Road","A road extending generally SE-NW. Begins at southern intersection of SR 276 & 679, at Cross Keys, ends at intersection of US Rt.11 and SR 679, about 1.6 mi NNW of Pleasant Valley Community. Is now portion of present day SR 679. Extends about 5.6 mi.","   -","HRHS Archives # 86 Whitmer","262221345182"
"Pleasant Valley School","   -","School","At Pleasant Valley Community.","   -","HRHS Archives # 86 Whitmer","775225474002"
"Pleasant Valley School","   -","School","On SR 679. About 1.2 mi NNW of Plesant Valley Community.","   -","HRHS Archives # 86 Whitmer","994304780879"
"Pleasant Valley United Brethren Church","   -","Church","Pleasant Valley, nearby","United Brethren","HRHS Churches Database 2013","85477760475"
"Pleasant View Church","Glass School Number 23","Church","About 3.5 mi WNW of Broadway. At intersection of SR 613 & 787","   -","HRHS Archives # 86 Whitmer","435053953094"
"Pleasant View Church","   -","Church","At intersection of SR 732 and 736. About 1.4 mi S of Mole Hill","   -","HRHS Archives # 86 Whitmer","997602003032"
"Pleasant View Mennonite Church Cemetery","   -","Cemetery","West of Dayton, Rockingham County, Virginia. From Harrisonburg, travel south on Route 42 (John Wayland Highway).  Just before getting to Dayton take a right on Route 732 (Eberly Road) and go 1.8 miles.  (Follow Route 732 signs which will go left, ove","   -","HRHS Cemeteries Database 2013","880303482378"
"Pleasant View Old Order Mennonite Church","   -","Church","Dayton. West on Rushville Rd.","Mennonite","HRHS Churches Database 2013","980770680763"
"Timber Ridge","   -","Hill","Elevation 1462'. Extends SW-NE about 3 mi. Center in Shenandoah Co. about 4.3 mi NW of New Market.","   -","HRHS Archives # 86 Whitmer","51906052830"
"Timber Ridge","   -","Hill","Elevation about 1880'. Extends SW-NE for about 5 mi. From East side of Supin Lick Mntn. Highest point near 38 44 04N, 78 49 39W","   -","HRHS Archives # 86 Whitmer","827477440924"
"Timber Ridge (Fair Hill) Methodist Church","   -","Church","Southwestern Rockingham, near Fair Hill","Methodist Episcopal","HRHS Churches Database 2013","386738170136"
"Timber Ridge School","No 17","School","East Ashby","P. 7","1885 Lakes Atlas Revised 2013","18566540281"
"Timber Ridge School","   -","School","Near intersection of SR 276 and 668. About 2.2 mi SW of Cross Keys.","   -","HRHS Archives # 86 Whitmer","257247967139"
"Timberville","   -","Town","At intersection of SR 42 and 617. About 2.2 mi NNE of Broadway","   -","HRHS Archives # 86 Whitmer","260031413927"
"Timberville","   -","Town","East Plains","P. 24","1885 Lakes Atlas Revised 2013","571383901672"
"Timberville Cemetery","   -","Cemetery","Timberville, Rockingham County, Virginia.  From downtown Harrisonburg go 16.7 miles taking Route 42 North, through Broadway to Timberville.  Turn right onto Church street.  Go 1/10 mile to cemetery which is located behind the Timberville Church of th","   -","HRHS Cemeteries Database 2013","395377828845"
"Timberville Church of the Brethren","Refer to: Timberville Dunkard Church","Church","Timberville","Church of the Brethren","HRHS Churches Database 2013","254144305969"
"Timberville Dunkard Church","(See also, Timberville Church of the Brethren)","Church","Timberville.","Dunkard","HRHS Churches Database 2013","85788966970"
"Tin Pin Alley (R.S.)","   -","Business","Rawley Springs","P. 27","1885 Lakes Atlas Revised 2013","310708110706"
"Tin Shack (McG)","   -","Business","McGaheysville","P. 27","1885 Lakes Atlas Revised 2013","691709964411"
"Tin Shop","   -","Business","Bwtr, Mt. Crfd, Rushvl, Sprg Crk","P. 10","1885 Lakes Atlas Revised 2013","64626423563"
"Tnpk. Warm Spg.","   -","Road","East Central","P. 12","1885 Lakes Atlas Revised 2013","661404219941"
"Tolivers Str.","   -","Stream","Stonewall","P. 30","1885 Lakes Atlas Revised 2013","112390638969"
"Toll Gate School","   -","School","Near intersection of U.S.Rt. 33 and SR 732. About 4.5 mi N of Ottobine.","   -","HRHS Archives # 86 Whitmer","781989645643"
"Toll House (R.S.)","   -","Business","West Central","P. 14","1885 Lakes Atlas Revised 2013","987374086446"
"Toll Hse & Shoe Sh","   -","Business","East Linville Creek","P. 19","1885 Lakes Atlas Revised 2013","874579347122"
"Tomahawk Mountain","Dividing Ridge","Mountain","Extends SW-NE about .8 mi. About 2.4 mi NNW of Bald Knob.","   -","HRHS Archives # 86 Whitmer","475640807176"
"Ashby (Gen. Turner)  Monument","   -","Monument","Four miles southeast of Harrisonburg.","Page 88.","WPA Book - 1937","958879444137"
"Barbee (Hotel) House","   -","Structure","North side Main Street, north end of Bridgewater,","Page 385.","WPA Book - 1937","903256479343"
"Bear Lithia Springs","   -",,"Two miles north of Elkton, just west of Route 12.","Page 386.","WPA Book - 1937","42062218202"
"Beery (John K.) Home","   -","Structure","About half a mile east of Edom, on a branch of Linville Creek.","Page 104.","WPA Book - 1937","515400058546"
"Beery (John) Home, 1803","   -","Structure","On Linville Creek about 6 miles north of Harrisonburg, on east side of route 260.","Page 102.","WPA Book - 1937","55975456735"
"Beery (John) Home, 1804","   -","Structure","Three miles northwest of Harrisonburg, at Edom, Route 250.","Page 99.","WPA Book - 1937","304674063993"
"Bell Grove","   -","Structure","Two miles northwest of Harrisonburg.","Page 106.","WPA Book - 1937","592249199635"
"Belmont Hall","   -","Structure","On Smith?s Creek, ten miles north of Harrisonburg, on east side of Route 11, about a mile from highway.","Page 108.","WPA Book - 1937","734567566918"
"Benson (Rev. Daddy) Home","   -","Structure","Main Street (National Highway), Mt. Crawford.","Page 110.","WPA Book - 1937","387007305437"
"Bibler Home","   -","Structure","Two miles west of Harrisonburg, on the west side of Warm Springs Pike.","Page 111.","WPA Book - 1937","774851088294"
"Blakemore (The Old Billy) Home","   -","Structure","On North River 1.5 miles southeast of Spring Creek.","Page 113.","WPA Book - 1937","320294279455"
"Bogota","   -","Structure","Ten miles southeast of Harrisonburg,  near Port Republic.","Page 114.","WPA Book - 1937","633458985936"
"Bowman-Sellers Place","   -","Structure","On Smith?s Creek, about twelve miles north of Harrisonburg, on the east side of Route 11, about a mile distant from highway.","Page 116.","WPA Book - 1937","758140149575"
"Breastworks ? Cannon Pits","   -","Structure","Browns Gap, near Grottoes.","Page 89.","WPA Book - 1937","162199032723"
"Brenneman Home","   -","Structure","At Edom, on Linville Creek, about 11 miles north of Harrisonburg,  on Route 260, on west side","Page 118.","WPA Book - 1937","553830909364"
"Brown Home (T.H.B.)","   -","Structure","West side of Main Street, Bridgewater.","Page 121.","WPA Book - 1937","902063038470"
"Brown Home","   -","Structure","West side of Main Street, Bridgewater.","Page 120.","WPA Book - 1937","106918224822"
